"id_materia","nombre_materia","clave_alfa","hsm","ebc","id_carrera","cuatrimestre","n_unidades","integradora"
265,"GESTION DE COMPRAS","IGCOM",3,"A",31,8,3,"-"
266,"IDIOMA EXTRANJERO P/ING I","IEXI1",NULL,"A",31,NULL,NULL,"-"
267,"IDIOMA EXTRANJERO P/ING II","IEXI2",NULL,"A",31,NULL,NULL,"-"
268,"IDIOMA EXTRANJERO P/ING III","IEXI3",NULL,"A",31,NULL,NULL,"-"
269,"IDIOMA EXTRANJERO P/ING IV","IEXI4",NULL,"A",31,NULL,NULL,"-"
270,"INFORMATICA APLICADA A LA GASTRONOMIA","IAG",3,"A",31,7,2,"-"
271,"INGENIERIA DE MENUS","IME",4,"A",31,8,2,"-"
272,"INGENIERIA DE PROCESOS GASTRONOMICOS","INGGA",5,"A",31,7,2,"-"
273,"INTEGRADORA I","IIN I",2,"A",31,8,2,"A"
274,"INTEGRADORA II","INTG",2,"A",31,10,2,"A"
275,"METODOLOGIA DE LA INVESTIGACION","MTV",3,"A",31,8,2,"-"
276,"NEGOCIACION EMPRESARIAL","INEMP",2,"A",31,10,2,"-"
277,"PLANEACION Y ORGANIZACION DEL TRABAJO","IPOTR",3,"A",31,8,3,"-"
278,"ESTÉTICA CULINARIA","IESCU",3,"A",31,8,2,"-"
320,"ADMINISTRACION DEL PERSONAL","APER",3,"A",16,2,3,"-"
321,"ALGEBRA ","ALGE",5,"A",16,1,4,"-"
322,"AUTOMATIZACION Y ROBOTICA","AUROB",6,"A",16,5,5,"-"
323,"CALCULO","CALCU",5,"A",16,2,5,"-"
324,"CALIDAD EN EL MANTENIMIENTO","CALMI",5,"A",16,1,4,"-"
325,"COSTOS Y PRESUPUESTOS","CPRE",4,"A",16,2,3,"-"
326,"DIBUJO INDUSTRIAL","DIND",5,"A",16,2,4,"-"
327,"ELECTRONICA ANALOGICA","ELANA",6,"A",16,3,4,"-"
328,"ELECTRONICA DIGITAL","ELDIG",6,"A",16,4,5,"-"
329,"ESTATICA Y DINAMICA","ESDIN",6,"A",16,1,4,"-"
330,"EXPRESION ORAL Y ESCRITA I","EXOE1",5,"A",16,1,3,"-"
331,"EXPRESION ORAL Y ESCRITA II","EXOE2",5,"A",16,5,3,"-"
332,"FORMACION SOCIOCULTURAL I","FOSO1",2,"A",16,1,2,"-"
333,"FORMACION SOCIOCULTURAL II","FOSO2",3,"A",16,2,2,"-"
334,"FORMACION SOCIOCULTURAL III","FOSO3",2,"A",16,3,2,"-"
335,"FORMACION SOCIOCULTURAL IV","FOSO4",3,"A",16,4,3,"-"
336,"GESTION DEL MANTENIMIENTO","GMTO",6,"A",16,3,3,"-"
337,"INFORMATICA","INFOR",4,"A",16,1,4,"-"
338,"INGENIERIA DE MATERIALES","IIMAT",6,"A",16,4,3,"-"
339,"INGLES I","IINGI",4,"A",16,1,3,"-"
340,"INGLES II","IINII",4,"A",16,2,4,"-"
341,"INGLES III","INIII",4,"A",16,3,2,"-"
342,"INGLES IV","INIV",4,"A",16,4,3,"-"
343,"INGLES V","INGV",4,"A",16,5,4,"-"
344,"INSTALACIONES ELECTRICAS","INSTE",6,"A",16,5,4,"-"
345,"INTEGRADORA I","IIN I",2,"A",16,3,4,"A"
346,"INTEGRADORA II","INTG",2,"A",16,5,4,"A"
347,"INTRODUCCION AL MANTENIMIENTO","INTMA",4,"A",16,1,4,"-"
348,"MANTENIMIENTO A PROCESOS DE MANUFACTURA","MPMAN",6,"A",16,5,3,"-"
349,"MAQUINAS ELECTRICAS","MAELE",6,"A",16,4,3,"-"
350,"MAQUINAS TERMICAS","MAQTE",6,"A",16,5,4,"-"
351,"MAQUINAS Y MECANISMOS","MAMEC",7,"A",16,3,7,"-"
352,"METODOS Y SISTEMAS DE TRABAJO","MESTR",5,"A",16,2,4,"-"
353,"PRINCIPIOS DE PROGRAMACION","PPROG",3,"A",16,4,3,"-"
354,"REDES DE SERVICIOS INDUSTRIALES","RSIN",3,"A",16,4,4,"-"
355,"SEGURIDAD Y MEDIO AMBIENTE","SMEDI",4,"A",16,3,3,"-"
356,"SISTEMAS ELECTRICOS","SELEC",6,"A",16,2,5,"-"
357,"SISTEMAS HIDRAULICOS","SITHI",4,"A",16,4,4,"-"
358,"SISTEMAS NEUMATICOS","SINEU",4,"A",16,3,5,"-"
767,"AUTOMATIZACION I","AUTO1",NULL,"-",7,NULL,NULL,"-"
768,"AUTOMATIZACION II","AUTO2",NULL,"-",7,NULL,NULL,"-"
769,"CALIDAD","CALID",NULL,"-",7,NULL,NULL,"-"
770,"ELECTRICIDAD INDUSTRIAL","EINDU",NULL,"-",7,NULL,NULL,"-"
771,"ELECTROMECANICA O REDES DE CONTROL","ELM",NULL,"-",7,NULL,NULL,"-"
772,"ELECTRONICA","ELETR",NULL,"-",7,NULL,NULL,"-"
773,"ELECTRONICA ANALOGICA","ELANA",NULL,"-",7,NULL,NULL,"-"
